Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
400228,17-05-2012,in Ordnung,nein,nein, , , , , ,
400229,17-05-2012,in Ordnung,nein,ja,0,5,2,Kohlmeise,0,
400230,17-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400231,17-05-2012,in Ordnung,nein,ja,0,7,8,Kohlmeise,7,
400232,17-05-2012,in Ordnung,nein,nein, , , , , ,
400233,17-05-2012,in Ordnung,nein,nein, , , , , ,
400234,17-05-2012,in Ordnung,nein,nein, , , , , ,
400235,17-05-2012,in Ordnung,nein,ja,0,0, ,Meise unbestimmt, ,
400236,17-05-2012,in Ordnung,nein,nein, , , , , ,Hornisse
400237,17-05-2012,in Ordnung,nein,nein, , , , , ,
400094,17-05-2012,in Ordnung,nein,nein, , , , , ,
900134,17-05-2012,in Ordnung,nein,nein, , , , , ,
